RA,Fase,Turma,Nome,Ano nasc,Idade 22,Genero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO,Atingiu_PV
RA-154,4,L,Aluno-154,2007,15,Menino,2017,Escola Pública,Ágata,Ágata,AGATA,6.073,"714,000",65,15,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,6.1,6.3,Sem limitações,4.0,"3,7","6,2","2,1",Sim,6.833,5.0,Fase 5 (1º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-155,4,L,Aluno-155,2006,16,Menino,2022,Escola Pública,,,AMETISTA,7.051,"470,000",39,9,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,7.5,Não atendido,5.2,"4,3","6,8","4,3",Sim,6.833,5.0,Fase 6 (2º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-156,4,L,Aluno-156,2007,15,Menino,2018,Escola Pública,Ametista,Ágata,AMETISTA,7.357,"376,000",30,6,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,8.3,9.4,Sem limitações,4.4,"4,7","6,5","2,1",Sim,7.792,5.0,Fase 5 (1º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-157,4,L,Aluno-157,2010,12,Menina,2018,Rede Decisão,Ametista,Topázio,TOPAZIO,8.317,"59,000",6,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,10.0,6.3,Requer avaliação,7.7,"7,0","7,5","8,7",Não,8.292,10.0,Fase 3 (7º e 8º ano),1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-158,4,L,Aluno-158,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,AMETISTA,7.302,"392,000",32,7,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.8,5.6,Requer avaliação,6.6,"5,0","6,7","8,1",Não,8.125,2.5,Fase 7 (3º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-159,4,L,Aluno-159,2007,15,Menina,2021,Escola Pública,,Ametista,AGATA,6.49,"644,000",58,14,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,8.1,5.6,Requer avaliação,4.7,"4,3","5,8","3,9",Não,6.458,5.0,Fase 5 (1º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-160,4,L,Aluno-160,2007,15,Menina,2021,Escola Pública,,Ágata,AGATA,6.746,"568,000",52,12,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,7.2,5.6,Requer avaliação,5.3,"2,7","6,0","7,1",Sim,8.25,5.0,Fase 5 (1º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-161,4,L,Aluno-161,2011,11,Menina,2018,Rede Decisão,Ametista,Ametista,AMETISTA,7.957,"153,000",14,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,9.1,5.6,Requer avaliação,6.9,"5,3","6,8","8,5",Não,8.083,10.0,Fase 2 (5º e 6º ano),2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-162,4,L,Aluno-162,2008,14,Menina,2021,Escola Pública,,Ágata,AMETISTA,7.215,"423,000",34,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,6.7,8.5,7.5,Requer avaliação,5.5,"4,7","5,5","6,4",Não,6.542,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-163,4,L,Aluno-163,2007,15,Menina,2021,Escola Pública,,Ágata,AGATA,6.797,"556,000",49,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.9,5.6,Requer avaliação,6.7,"6,5","6,3","7,4",Não,6.5,5.0,Fase 5 (1º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-164,4,L,Aluno-164,2006,16,Menino,2018,Escola Pública,Ágata,Ágata,AGATA,6.776,"562,000",50,11,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.3,7.3,5.6,Requer avaliação,6.5,"4,7","6,5","8,3",Sim,7.208,5.0,Fase 6 (2º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-165,4,L,Aluno-165,2008,14,Menina,2017,Rede Decisão,Ametista,Ametista,TOPAZIO,8.063,"128,000",12,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,9.8,5.6,Sem limitações,7.6,"5,3","7,8","9,7",Não,7.5,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-166,4,L,Aluno-166,2008,14,Menino,2020,Escola Pública,Ametista,Ametista,TOPAZIO,8.253,"73,000",8,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.3,Sem limitações,8.1,"7,0","7,2","10,0",Sim,7.542,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-167,4,P,Aluno-167,2006,16,Menina,2018,Rede Decisão,Ametista,Ametista,AMETISTA,7.798,"200,000",19,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,9.7,5.6,Requer avaliação,7.9,"9,3","8,0","6,3",Não,7.833,5.0,Fase 6 (2º EM),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-168,4,P,Aluno-168,2007,15,Menina,2018,Rede Decisão,Ametista,Ametista,AGATA,6.917,"522,000",44,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.3,6.3,Sem limitações,5.9,"4,7","8,2","5,0",Não,7.083,5.0,Fase 5 (1º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-169,4,P,Aluno-169,2007,15,Menina,2018,Escola Pública,Ágata,Ágata,QUARTZO,5.159,"814,000",73,9,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.5,5.1,6.3,Sem limitações,3.2,"1,3","4,5","3,8",Não,4.792,5.0,Fase 5 (1º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-170,4,P,Aluno-170,2008,14,Menina,2018,Rede Decisão,Ametista,Ametista,AGATA,7.007,"484,000",40,4,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,9.2,5.6,Requer avaliação,4.9,"3,7","6,7","4,3",Não,5.792,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-171,4,P,Aluno-171,2006,16,Menino,2022,Escola Pública,,,AGATA,6.581,"632,000",57,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,6.8,7.5,Sem limitações,5.5,"3,0","8,0",,Não,6.875,5.0,Fase 6 (2º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-172,4,P,Aluno-172,2008,14,Menina,2018,Rede Decisão,Ametista,Topázio,TOPAZIO,8.673,"18,000",1,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,9.4,Sem limitações,7.3,"6,0","7,7","8,1",Não,8.917,10.0,Fase 4 (9º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-173,4,P,Aluno-173,2005,17,Menino,2019,Rede Decisão,Ametista,Ametista,AMETISTA,7.816,"198,000",18,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.2,6.9,Requer avaliação,7.9,"9,0","7,5","7,1",Não,9.25,2.5,Fase 7 (3º EM),-3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-174,4,P,Aluno-174,2007,15,Menina,2019,Escola Pública,Ágata,Ágata,AGATA,6.075,"713,000",64,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,6.2,7.5,Sem limitações,4.4,"4,0","5,3","3,8",Não,6.042,5.0,Fase 5 (1º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-175,4,P,Aluno-175,2007,15,Menina,2018,Rede Decisão,Ametista,Ametista,AGATA,6.75,"567,000",51,6,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,9.2,5.6,Requer avaliação,5.9,"4,7","7,2","5,9",Não,5.833,5.0,Fase 5 (1º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-176,3,A,Aluno-176,2009,13,Menina,2018,Rede Decisão,Topázio,Ametista,TOPAZIO,8.427,"44,000",12,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,9.1,5.6,Requer avaliação,6.9,"5,1","6,8","8,7",Não,9.083,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-177,3,A,Aluno-177,2009,13,Menina,2022,Escola Pública,,,AMETISTA,7.424,"347,000",40,9,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.9,8.8,4.4,Requer avaliação,6.8,"6,0","7,5",,Não,6.958,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-178,3,A,Aluno-178,2009,13,Menina,2016,Rede Decisão,Ametista,Ametista,AGATA,7.025,"481,000",61,13,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,0.0,8.8,4.4,Requer avaliação,6.3,"6,2","5,3","7,3",Não,8.458,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-179,3,A,Aluno-179,2010,12,Menino,2022,Escola Pública,,,AMETISTA,7.993,"145,000",22,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.2,7.5,Sem limitações,6.1,"3,7","6,7","8,0",Sim,8.042,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-180,3,A,Aluno-180,2010,12,Menino,2018,Rede Decisão,Topázio,Topázio,TOPAZIO,8.442,"42,000",11,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.3,6.3,Requer avaliação,8.1,"7,7","8,3","8,3",Não,8.625,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-181,3,A,Aluno-181,2009,13,Menina,2019,Rede Decisão,Topázio,Ametista,TOPAZIO,8.623,"25,000",6,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,9.5,8.8,Não atendido,6.8,"6,8","7,3","6,2",Não,8.458,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-182,3,A,Aluno-182,2006,16,Menina,2021,Escola Pública,,Quartzo,AGATA,6.328,"677,000",93,15,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,8.0,7.5,Não atendido,4.1,"1,3","5,7","5,4",Não,6.958,2.5,Fase 6 (2º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-183,3,A,Aluno-183,2009,13,Menina,2022,Escola Pública,,,AMETISTA,7.3,"394,000",46,11,4,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.3,8.8,7.5,Não atendido,3.8,"0,0","7,5",,Não,7.25,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-184,3,A,Aluno-184,2006,16,Menino,2019,Escola Pública,Ametista,Ametista,AMETISTA,7.28,"403,000",47,12,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,7.7,7.5,Não atendido,7.2,"5,0","7,3","9,3",Sim,8.0,2.5,Fase 6 (2º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-185,3,A,Aluno-185,2007,15,Menino,2021,Escola Pública,,Quartzo,AGATA,6.615,"621,000",81,14,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,7.7,7.5,Não atendido,4.5,"3,3","5,7","4,5",Não,6.875,5.0,Fase 5 (1º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-186,3,A,Aluno-186,2009,13,Menina,2019,Escola Pública,Ametista,Ametista,AMETISTA,7.832,"192,000",29,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,8.5,7.5,Não atendido,6.6,"6,0","5,7","8,0",Sim,7.5,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-187,3,A,Aluno-187,2010,12,Menina,2019,Rede Decisão,Ametista,Topázio,AMETISTA,7.928,"161,000",25,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,8.9,7.5,Não atendido,5.8,"5,3","7,2","4,8",Não,7.917,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-188,3,A,Aluno-188,2008,14,Menino,2021,Escola Pública,,Ametista,QUARTZO,5.307,"803,000",122,16,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,6.1,7.5,Não atendido,2.7,"3,0","3,2","2,0",Sim,7.583,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-189,3,A,Aluno-189,2008,14,Menino,2018,Rede Decisão,Ametista,Ametista,AMETISTA,7.629,"261,000",33,8,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.7,5.0,Requer avaliação,7.2,"6,3","7,2","8,0",Não,7.333,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-190,3,A,Aluno-190,2009,13,Menina,2022,Escola Pública,,,AMETISTA,7.335,"380,000",44,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,6.7,6.9,8.8,Não atendido,6.3,"5,0","7,5",,Não,7.25,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-191,3,A,Aluno-191,2009,13,Menino,2019,Rede Decisão,Topázio,Topázio,TOPAZIO,8.74,"13,000",2,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.4,8.8,Não atendido,7.2,"8,0","7,2","6,3",Não,8.5,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-192,3,B,Aluno-192,2007,15,Menino,2021,Escola Pública,,Quartzo,QUARTZO,4.932,"829,000",130,14,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,8.8,3.6,7.5,Não atendido,2.7,"1,7","4,7","1,7",Não,4.708,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-193,3,B,Aluno-193,2010,12,Menino,2016,Rede Decisão,Topázio,Topázio,TOPAZIO,8.155,"95,000",16,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,5.6,Sem limitações,6.7,"5,0","6,3","8,7",Não,8.5,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-194,3,B,Aluno-194,2008,14,Menina,2022,Escola Pública,,,QUARTZO,4.265,"851,000",144,15,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,6.2,5.0,Requer avaliação,3.2,"3,7","5,8","0,0",Não,3.75,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-195,3,B,Aluno-195,2009,13,Menina,2017,Rede Decisão,Ametista,Ametista,AMETISTA,8.017,"137,000",21,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,9.2,5.0,Requer avaliação,6.3,"6,8","6,3","5,8",Não,8.25,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-196,3,B,Aluno-196,2010,12,Menino,2018,Rede Decisão,Ametista,Topázio,TOPAZIO,8.124,"106,000",17,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.1,7.5,Não atendido,5.1,"4,0","6,0","5,3",Não,8.625,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-197,3,B,Aluno-197,2009,13,Menina,2021,Rede Decisão,,Topázio,TOPAZIO,8.218,"82,000",15,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,9.7,4.4,Requer avaliação,7.3,"6,0","7,5","8,3",Não,8.292,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-198,3,B,Aluno-198,2009,13,Menino,2017,Escola Pública,Ametista,Quartzo,QUARTZO,5.554,"782,000",117,11,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,0.0,6.2,5.0,Requer avaliação,4.6,"5,2","5,8","2,8",Não,5.958,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-199,3,B,Aluno-199,2009,13,Menino,2022,Escola Pública,,,AMETISTA,7.564,"287,000",34,5,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,7.1,7.5,Não atendido,7.5,"5,7","7,8","9,0",Não,6.458,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-200,3,B,Aluno-200,2007,15,Menino,2018,Escola JP II,Quartzo,Quartzo,QUARTZO,5.705,"759,000",109,9,4,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.9,5.6,4.4,Requer avaliação,5.5,"4,7","5,0","6,8",Não,4.917,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
